***STARTING NEW TEST***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm, n, List Ops/Sort, Comparison Ops/Sort, Time(ns),,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,5,30,7,537988,,,,QuickSort,,,,,,MergeSort,,,,,,InsertionSort,,,,,,SelectionSort,,,,
Selection,5,41,10,1381750, ,Run 1,,Quick,5,30,7,537988,,Merge,5,10,8,2959792,,Insertion,5,46,9,1782461,,Selection,5,41,10,1381750
Insertion,5,46,9,1782461,,,,Quick,10,97,23,5401695,,Merge,10,20,24,8869540,,Insertion,10,164,32,8236613,,Selection,10,111,45,7413379
Merge,5,10,8,2959792,,,,Quick,20,333,70,4779031,,Merge,20,40,67,13412507,,Insertion,20,574,107,16524970,,Selection,20,338,190,13672947
Selection,10,111,45,7413379,,,,Quick,40,663,193,4882951,,Merge,40,80,170,13252136,,Insertion,40,2156,384,23678336,,Selection,40,1097,780,20937503
Quick,10,97,23,5401695,,,,Quick,100,2040,614,13797395,,Merge,100,200,535,20578701,,Insertion,100,14714,2515,82184370,,Selection,100,5750,4950,86462619
Insertion,10,164,32,8236613,,Run 2,,Quick,5,30,7,1278257,,Merge,5,10,8,9073103,,Insertion,5,46,9,5865272,,Selection,5,41,10,2684383
Merge,10,20,24,8869540,,,,Quick,10,97,23,4150808,,Merge,10,20,24,25660939,,Insertion,10,164,32,28535200,,Selection,10,111,45,17577854
Quick,20,333,70,4779031,,,,Quick,20,333,70,11058699,,Merge,20,40,67,17711710,,Insertion,20,574,107,33059778,,Selection,20,338,190,31181522
Selection,20,338,190,13672947,,,,Quick,40,663,193,25349180,,Merge,40,80,170,34798191,,Insertion,40,2156,384,49077123,,Selection,40,1097,780,47170215
Merge,20,40,67,13412507,,,,Quick,100,2040,614,12669672,,Merge,100,200,535,19066089,,Insertion,100,14714,2515,31195635,,Selection,100,5750,4950,33289428
Insertion,20,574,107,16524970,,Run 3,,Quick,5,30,7,970774,,Merge,5,10,8,2355089,,Insertion,5,46,9,2220806,,Selection,5,41,10,1166212
Quick,40,663,193,4882951,,,,Quick,10,97,23,3105622,,Merge,10,20,24,9603821,,Insertion,10,164,32,9240316,,Selection,10,111,45,4315455
Merge,40,80,170,13252136,,,,Quick,20,333,70,3978891,,Merge,20,40,67,53825791,,Insertion,20,574,107,58511594,,Selection,20,338,190,52576614
Selection,40,1097,780,20937503,,,,Quick,40,663,193,6553367,,Merge,40,80,170,14692474,,Insertion,40,2156,384,24744049,,Selection,40,1097,780,47733007
Insertion,40,2156,384,23678336,,,,Quick,100,2040,614,8684793,,Merge,100,200,535,15005089,,Insertion,100,14714,2515,24230865,,Selection,100,5750,4950,25701994
Quick,100,2040,614,13797395,,Avg,,Quick,5,30,7,929006.3333,,Merge,5,10,8,4795994.667,,Insertion,5,46,9,3289513,,Selection,5,41,10,1744115
Merge,100,200,535,20578701,,,,Quick,10,97,23,4219375,,Merge,10,20,24,14711433.33,,Insertion,10,164,32,15337376.33,,Selection,10,111,45,8719148.333
Selection,100,5750,4950,86462619,,,,Quick,20,333,70,6605540.333,,Merge,20,40,67,28316669.33,,Insertion,20,574,107,36032114,,Selection,20,338,190,32477027.67
Insertion,100,14714,2515,82184370,,,,Quick,40,663,193,12261832.67,,Merge,40,80,170,20914267,,Insertion,40,2156,384,32499836,,Selection,40,1097,780,38613575
,,,,,,,,Quick,100,2040,614,11717286.67,,Merge,100,200,535,18216626.33,,Insertion,100,14714,2515,45870290,,Selection,100,5750,4950,48484680.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,QuickSort,,,,,,MergeSort,,,,,,InerstionSort,,,,,,SelectionSort,,,,
***STARTING NEW TEST***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,n,Time(ns),,,,,n,Time(ns),,,,,n,Time(ns),,,,,n,Time(ns),,,
,,,,,,,,5,929006.3,,,,,5,4795995,,,,,5,3289513,,,,,5,1744115,,,
Algorithm, n, List Ops/Sort, Comparison Ops/Sort, Time(ns),,,,10,4219375,,,,,10,14711433,,,,,10,15337376,,,,,10,8719148,,,
Quick,5,30,7,1278257,,,,20,6605540,,,,,20,28316669,,,,,20,36032114,,,,,20,32577028,,,
Selection,5,41,10,2684383,,,,40,12261833,,,,,40,20914267,,,,,40,32499836,,,,,40,38613575,,,
Insertion,5,46,9,5865272,,,,100,11717287,,,,,100,18216626,,,,,100,45870290,,,,,100,48484680,,,
Merge,5,10,8,9073103,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,10,97,23,4150808,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,10,111,45,17577854,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,10,164,32,28535200,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,10,20,24,25660939,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,20,333,70,11058699,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,20,338,190,31181522,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,20,40,67,17711710,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,20,574,107,33059778,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,40,663,193,25349180,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,40,80,170,34798191,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,40,1097,780,47170215,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,40,2156,384,49077123,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,100,2040,614,12669672,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,100,200,535,19066089,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,100,5750,4950,33289428,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,100,14714,2515,31195635,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***STARTING NEW TEST***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algorithm, n, List Ops/Sort, Comparison Ops/Sort, Time(ns),,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,5,30,7,970774,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,5,41,10,1166212,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,5,46,9,2220806,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,5,10,8,2355089,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,10,97,23,3105622,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,10,111,45,4315455,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,10,164,32,9240316,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,10,20,24,9603821,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,20,333,70,3978891,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,20,338,190,52576614,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,20,40,67,53825791,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,20,574,107,58511594,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,40,663,193,6553367,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,40,80,170,14692474,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,40,1097,780,47733007,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,40,2156,384,24744049,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick,100,2040,614,8684793,,,,,,,,,,,,,,,,,,,,,,,,,,
Merge,100,200,535,15005089,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection,100,5750,4950,25701994,,,,,,,,,,,,,,,,,,,,,,,,,,
Insertion,100,14714,2515,24230865,,,,,,,,,,,,,,,,,,,,,,,,,,
